"","Estimate","Std. Error","df","t value","Pr(>|t|)"
"(Intercept)",0.98264238790427,0.0597994813740268,4.68920242635667,16.4322894668292,2.51938129028742e-05
"TreatmentC-H",0.131643326381444,0.101987974290551,4.58500081371324,1.290773027871,0.258028492303306
"TreatmentH-C",0.124991197602388,0.0804647889438494,5.50325809037002,1.55336513328346,0.175735048905471
"TreatmentH-H",0.214177826653587,0.0961107092456863,7.92353543244505,2.22844913261526,0.056747817635351
"SpeciesDPSE",-0.255369660631542,0.0975447884905689,3.83387757198014,-2.61797339030811,0.0615134457694465
"SexM",-0.393753499015374,0.0992963218736948,4.11817676132068,-3.96543891642059,0.015685248475604
"TreatmentC-H:SpeciesDPSE",0.198226803488684,0.152204216814926,4.22397506883323,1.30237392653661,0.259264261149033
"TreatmentH-C:SpeciesDPSE",0.179816398021249,0.128933242759263,4.76866171072973,1.39464729322749,0.22460089403457
"TreatmentH-H:SpeciesDPSE",0.158549446073687,0.145843862431821,4.81746152569221,1.08711771225756,0.328359100019286
"TreatmentC-H:SexM",-0.120532215270341,0.154651989686211,4.50336903072618,-0.779377074390707,0.474696835563113
"TreatmentH-C:SexM",-0.130685274004125,0.125905210234281,4.3844530528334,-1.03796557553853,0.35310265765275
"TreatmentH-H:SexM",-0.123066715542482,0.147021107277174,4.97519447167403,-0.837068349039624,0.440896037844785
"SpeciesDPSE:SexM",0.411935317197193,0.147437359972901,3.71684608537893,2.79396834881543,0.0533837751012926
"TreatmentC-H:SpeciesDPSE:SexM",-0.254792460054333,0.221143853598439,4.11782999540312,-1.15215709552116,0.311725099529501
"TreatmentH-C:SpeciesDPSE:SexM",-0.178332937141926,0.194753213246198,4.51727298528827,-0.915686751296297,0.406061367740121
"TreatmentH-H:SpeciesDPSE:SexM",-0.195115102639338,0.213732387671248,4.11437797860131,-0.912894413267185,0.411601636972816
